field_id,soil_ph,organic_matter,sand_pct,temperature,humidity,rainfall,ndvi,yield
F00142,7.45,2.82,49.9,29.4,67,105.2,0.65,4190.1
F00143,6.08,1.61,57.0,29.4,81,162.4,0.46,4175.3
F00144,7.28,1.57,59.1,24.3,70,157.4,0.57,4764.0
F00145,7.26,3.03,36.5,24.7,68,172.2,0.6,4155.4
F00146,7.02,2.26,52.5,29.0,72,107.2,0.73,4967.6
F00147,6.63,3.36,57.8,29.7,68,177.6,0.43,3966.4
F00148,5.74,3.74,32.7,25.8,66,102.3,0.73,4539.2
F00149,6.56,1.85,42.4,24.1,74,127.0,0.47,4638.4
F00150,6.21,3.31,57.6,25.9,76,106.8,0.69,4445.6
F00151,7.08,2.79,36.1,26.3,65,104.1,0.43,4050.6
F00152,7.02,1.78,58.0,28.6,76,177.2,0.75,3886.1
F00153,7.32,3.13,45.8,24.3,74,157.6,0.68,4406.4
F00154,5.53,3.02,33.0,25.3,76,140.5,0.42,4487.9
F00155,7.12,2.79,43.5,29.4,83,108.7,0.47,3886.4
F00156,7.38,3.82,39.8,24.9,67,142.1,0.59,4004.7
F00157,7.08,2.8,38.5,28.6,83,125.6,0.58,4793.1
F00158,5.76,3.98,46.2,26.2,71,121.7,0.62,4715.8
F00159,5.66,2.77,44.5,28.0,65,149.4,0.56,3775.7
F00160,5.54,1.79,44.5,24.4,77,163.3,0.66,4900.0
F00161,6.76,2.68,32.6,25.7,73,135.5,0.52,4442.0
F00162,6.76,1.96,54.1,26.5,80,139.5,0.46,4245.1
F00163,7.47,2.99,44.4,29.1,82,152.1,0.41,3801.3
F00164,6.3,3.23,54.6,27.4,79,110.0,0.51,4595.3
F00165,6.16,2.67,54.7,24.3,84,166.3,0.55,4881.2
F00166,6.75,1.74,39.5,28.8,79,167.0,0.63,3597.4
F00167,7.15,2.67,30.1,24.3,79,143.3,0.68,4281.1
F00168,7.37,1.7,57.3,29.6,74,115.0,0.48,4815.7
F00169,7.11,3.21,52.8,25.3,82,140.1,0.57,4928.8
F00170,6.35,3.48,33.2,26.9,79,108.5,0.48,3608.2
F00171,6.77,3.91,51.1,24.4,76,161.1,0.73,4686.6
F00172,7.21,1.87,30.6,27.4,65,124.9,0.63,3922.1
F00173,6.48,2.83,30.8,27.0,77,124.9,0.64,4312.3
F00174,5.93,2.92,45.8,26.5,81,175.6,0.59,4675.6
F00175,5.84,3.81,32.9,24.2,81,133.7,0.5,4317.7
F00176,5.5,3.07,58.9,29.3,71,163.2,0.47,3665.1
F00177,6.94,1.86,56.8,28.8,75,151.0,0.63,4385.8
F00178,5.72,2.59,49.5,27.8,76,125.3,0.72,3676.7
F00179,5.99,3.14,31.9,27.4,73,109.9,0.47,4021.2
F00180,6.1,3.25,39.7,28.2,79,163.8,0.6,4337.3
F00181,6.62,3.66,41.2,24.9,65,161.0,0.59,4987.1
F00182,6.3,1.95,44.4,29.6,75,113.5,0.62,4590.4
F00183,6.85,3.88,35.1,25.7,69,119.9,0.61,3955.0
F00184,5.61,1.65,47.3,27.9,83,161.3,0.5,4814.8
F00185,5.75,3.96,43.1,27.6,82,178.7,0.64,3839.2
F00186,6.5,3.64,58.4,27.8,82,167.5,0.5,4076.0
F00187,6.17,3.15,58.1,29.3,82,154.7,0.63,4470.5
F00188,6.09,3.34,47.0,25.8,84,173.2,0.5,4115.8
F00189,5.63,1.68,49.3,28.5,71,122.8,0.43,4594.4
F00190,7.29,1.6,34.1,27.6,78,100.8,0.44,4475.9
F00191,6.88,1.75,36.7,24.5,65,125.7,0.69,4500.9
F00192,5.74,1.72,57.0,26.5,84,177.8,0.44,4130.4
F00193,5.63,2.87,51.0,29.0,73,170.6,0.52,3582.7
F00194,7.45,2.04,35.7,25.9,80,104.0,0.5,4809.1
F00195,6.86,3.65,47.1,26.9,70,140.2,0.42,3611.0
F00196,6.33,2.61,58.0,26.9,71,106.3,0.61,4196.1
F00197,6.9,3.24,40.4,27.7,82,163.1,0.68,3952.9
F00198,7.01,3.13,35.6,29.3,65,129.8,0.75,3944.5
F00199,7.06,2.3,58.3,25.0,80,173.0,0.73,3839.9
F00200,6.46,2.11,43.8,27.0,82,104.4,0.42,3907.5
F00201,6.36,2.36,42.5,26.5,82,158.7,0.49,4933.0
F00202,5.52,3.49,38.0,25.8,83,131.9,0.54,4958.1
F00203,7.35,2.97,56.7,29.5,77,121.5,0.71,4356.4
F00204,6.71,2.13,55.4,24.0,83,141.4,0.53,4287.0
F00205,5.91,3.54,42.1,24.7,67,138.8,0.6,3572.5
F00206,7.34,1.64,30.9,28.4,84,127.9,0.63,4705.6
F00207,7.33,3.25,43.4,25.6,81,151.9,0.5,3755.8
F00208,7.48,2.6,35.4,28.3,75,152.9,0.6,3713.9
F00209,7.25,3.33,34.3,29.0,81,106.2,0.42,4136.1
F00210,7.5,3.82,41.8,25.5,76,147.6,0.57,4021.3
F00211,5.99,3.38,33.0,25.2,76,156.9,0.53,3645.0
F00212,7.18,2.6,58.7,24.9,84,106.1,0.52,3721.9
F00213,7.15,1.88,31.4,25.2,80,152.7,0.48,4988.5
F00214,5.96,3.52,42.0,25.6,65,164.3,0.69,4602.2
F00215,5.7,2.65,34.9,29.2,84,166.6,0.71,4397.8
F00216,7.46,1.69,50.7,28.6,77,103.3,0.71,3955.4
F00217,6.09,3.3,32.4,24.0,66,155.8,0.54,4142.7
F00218,7.24,2.23,46.4,29.2,80,163.8,0.49,4442.0
F00219,5.51,1.62,53.2,24.5,71,131.7,0.43,4676.4
F00220,5.54,3.76,58.5,27.9,66,143.4,0.64,4919.6
F00221,6.43,2.71,51.0,24.9,82,121.2,0.52,3684.0
F00222,5.98,2.2,33.0,24.4,81,124.8,0.5,3787.5
F00223,6.88,3.29,32.7,28.6,80,140.1,0.53,4351.4
F00224,6.63,3.71,51.9,26.8,84,112.1,0.59,4907.7
F00225,5.65,1.5,36.5,27.6,82,129.6,0.46,4178.8
F00226,5.83,3.22,43.4,26.6,84,124.1,0.74,4450.9
F00227,6.28,3.42,59.3,24.4,80,119.1,0.66,3940.6
F00228,5.87,2.02,54.6,28.4,65,138.7,0.42,4717.6
F00229,7.08,2.72,55.4,28.9,69,167.1,0.51,4407.9
F00230,6.33,1.72,55.8,24.2,79,119.4,0.42,4072.7
F00231,5.69,3.37,48.6,26.3,77,152.8,0.48,4313.9
F00232,6.47,3.62,52.3,27.3,69,120.3,0.5,4542.1
F00233,5.68,1.77,40.8,27.6,82,111.4,0.65,3820.3
F00234,5.76,3.54,60.0,27.5,84,175.5,0.65,4012.2
F00235,5.98,3.43,38.4,28.2,69,150.7,0.42,3875.8
F00236,7.22,2.37,47.7,29.8,80,108.4,0.61,4940.2
F00237,7.35,3.23,38.5,26.3,75,150.6,0.74,3564.5
F00238,7.15,1.5,33.4,27.3,75,114.1,0.62,3584.7
F00239,6.17,3.83,47.0,28.2,67,171.0,0.74,4033.6
F00240,6.04,2.88,40.6,27.6,83,119.8,0.53,4307.0
F00241,6.6,3.05,47.5,26.3,74,164.5,0.56,3993.3
F00242,6.94,3.16,46.8,27.7,66,115.9,0.57,4785.4
F00243,7.49,2.9,46.3,27.9,81,144.7,0.72,3754.1
F00244,5.76,3.64,33.7,27.5,67,173.0,0.53,4046.9
F00245,5.6,3.02,43.2,25.2,67,123.7,0.74,4231.9
F00246,6.89,3.77,54.4,27.0,72,106.5,0.59,3803.2
F00247,7.16,2.96,39.5,29.3,80,144.2,0.48,3935.1
F00248,7.19,1.93,43.3,29.2,76,113.8,0.44,4921.1
F00249,6.86,3.78,44.8,28.5,83,158.3,0.46,4280.3
F00250,7.41,3.2,55.9,28.2,65,147.3,0.41,4804.5
F00251,6.52,3.25,49.7,24.9,83,127.7,0.64,3904.0
F00252,7.33,3.96,33.0,26.8,68,156.5,0.58,4418.6
F00253,7.44,1.69,56.0,24.7,81,119.1,0.66,4644.9
F00254,7.19,2.57,55.0,28.9,83,173.4,0.67,4132.4
F00255,6.12,2.1,52.6,25.7,68,127.8,0.73,4437.1
F00256,5.89,3.08,44.0,28.6,79,161.0,0.44,4794.8
F00257,6.6,3.52,52.7,28.9,71,120.7,0.47,3711.2
F00258,6.41,3.92,44.4,29.4,84,157.2,0.59,4032.1
F00259,7.26,2.64,52.1,28.5,81,102.5,0.45,4735.9
F00260,5.7,3.47,56.4,27.4,73,123.6,0.43,3846.3
F00261,6.02,3.79,56.7,27.6,71,107.4,0.63,4334.2
F00262,7.0,3.21,43.6,25.9,68,136.1,0.65,4157.0
F00263,5.69,2.11,55.8,25.1,81,134.8,0.7,4497.3
F00264,6.14,3.02,33.0,24.8,79,128.7,0.72,4502.0
F00265,6.27,3.92,33.1,25.1,73,178.5,0.55,4367.7
F00266,6.75,3.97,46.4,29.6,80,119.5,0.74,4920.2
F00267,5.82,3.11,49.6,25.0,70,163.3,0.41,3763.0
F00268,7.22,3.72,34.6,28.3,81,135.8,0.7,4752.6
F00269,6.4,2.0,44.2,25.1,71,126.8,0.51,4234.1
F00270,7.33,2.12,32.8,29.9,81,116.3,0.72,4492.7
F00271,6.44,3.88,48.1,26.2,78,150.7,0.48,3910.6
F00272,6.05,1.84,55.7,26.5,79,126.7,0.66,3641.9
F00273,5.78,1.98,52.1,26.4,84,165.0,0.55,4666.6
F00274,5.51,2.55,41.3,28.9,82,177.5,0.53,3877.6
F00275,6.56,2.97,59.8,25.3,83,118.2,0.42,4085.4
F00276,5.71,3.01,49.9,29.0,82,110.3,0.65,3571.3
F00277,6.28,2.23,54.5,27.9,78,125.2,0.46,4475.3
F00278,6.68,3.8,50.1,25.3,84,137.4,0.56,4531.2
F00279,6.05,3.79,59.7,24.4,69,124.1,0.45,4852.5
F00280,5.85,2.48,54.6,28.6,71,177.6,0.61,4836.5
F00281,7.05,2.59,45.6,25.3,76,162.3,0.48,4557.7
F00282,7.39,3.26,41.0,29.3,81,177.3,0.61,3983.2
F00283,5.7,3.16,50.5,24.8,83,129.9,0.73,4061.9
F00284,5.81,2.46,47.7,27.7,80,124.4,0.72,4072.6
F00285,7.42,2.54,48.9,28.2,66,132.6,0.47,3694.4
F00286,5.58,2.37,40.3,27.9,76,141.8,0.43,4920.9
F00287,7.46,2.09,42.9,25.9,81,159.3,0.41,4727.2
F00288,5.51,2.65,46.7,29.3,67,170.5,0.69,3717.9
F00289,7.25,3.22,55.2,28.6,72,137.1,0.49,4919.7
F00290,6.11,3.35,52.9,27.1,69,123.1,0.5,4764.8
F00291,7.38,3.45,33.6,27.6,81,125.5,0.48,4878.3
F00292,6.13,2.44,37.4,27.4,78,155.8,0.69,3928.5
F00293,6.81,3.41,30.8,29.7,78,145.4,0.74,4003.4
F00294,5.66,1.52,30.2,29.4,68,138.9,0.66,4204.9
F00295,5.98,2.69,36.7,25.4,79,116.2,0.69,3836.3
F00296,7.05,3.48,54.0,25.6,66,170.0,0.62,4198.1
F00297,6.56,3.08,57.1,29.9,68,162.5,0.59,3513.8
F00298,7.36,2.69,41.8,25.4,81,111.3,0.65,4816.3
F00299,6.36,3.11,46.9,29.7,67,129.4,0.41,3743.4
F00300,7.24,3.77,51.2,27.9,80,143.4,0.42,4251.3
F00301,6.4,2.92,58.6,24.3,76,136.3,0.64,4893.2
F00302,7.46,3.5,57.4,26.0,84,131.8,0.52,4731.5
F00303,7.42,3.95,31.7,26.9,67,157.5,0.57,4664.2
F00304,6.16,3.26,37.4,29.0,69,104.4,0.67,4408.2
F00305,7.27,2.93,31.5,26.0,80,137.7,0.6,4154.4
F00306,7.2,1.59,48.5,25.9,71,121.0,0.68,4169.1
F00307,5.92,2.44,51.3,29.5,84,106.8,0.55,3630.4
F00308,6.75,2.91,39.2,24.5,80,137.2,0.5,3597.2
F00309,5.65,3.49,55.6,27.3,81,113.7,0.48,4765.2
F00310,7.17,2.6,43.6,27.0,66,120.7,0.45,4113.0
F00311,5.85,3.9,60.0,24.3,76,140.6,0.41,3581.0
F00312,5.64,2.18,30.0,24.5,77,177.9,0.42,4494.6
F00313,6.3,3.36,33.3,26.3,69,154.7,0.49,4525.0
F00314,6.65,2.55,39.1,24.8,80,122.4,0.5,3841.2
F00315,7.21,2.71,30.8,26.9,72,130.6,0.53,4116.1
F00316,7.45,3.51,53.5,27.7,78,132.5,0.61,4360.1
F00317,6.38,2.24,31.6,28.1,72,112.3,0.67,4394.4
F00318,5.62,1.74,52.5,27.3,82,112.9,0.47,4266.7
F00319,7.0,2.8,31.6,26.3,84,111.9,0.67,4046.3
F00320,6.63,2.82,37.6,24.8,76,141.7,0.45,3603.2
F00321,6.4,3.49,55.2,25.5,75,153.9,0.75,3533.4
F00322,6.12,3.92,58.5,26.5,80,147.3,0.5,4189.3
F00323,6.5,1.64,42.4,29.5,79,178.2,0.69,3804.4
F00324,6.18,2.98,59.1,25.2,77,110.1,0.47,4907.7
F00325,7.01,3.2,48.8,26.5,82,178.9,0.73,4460.6
F00326,6.59,3.96,42.5,28.4,65,137.3,0.69,4378.3
F00327,7.25,3.86,54.1,28.2,65,117.5,0.53,4109.8
F00328,6.59,3.28,38.9,29.8,65,175.5,0.55,3994.3
F00329,5.98,2.8,38.0,25.1,73,137.5,0.4,3769.7
F00330,7.2,1.9,49.7,24.1,78,127.8,0.49,3590.2
F00331,6.61,2.46,41.7,25.9,82,117.1,0.5,4451.7
F00332,5.91,2.96,34.1,24.9,65,121.4,0.56,4668.8
F00333,6.75,3.31,32.0,27.3,84,178.3,0.45,4786.6
F00334,6.22,3.09,53.6,29.4,75,124.3,0.57,4586.5
F00335,7.19,3.29,50.3,28.1,66,178.2,0.63,4845.4
F00336,6.41,2.57,42.4,24.8,83,126.4,0.53,4974.2
F00337,6.95,3.32,56.9,24.7,66,118.5,0.48,4942.5
F00338,5.69,1.86,42.3,29.5,83,114.7,0.59,4388.3
F00339,6.29,1.91,51.3,26.9,66,132.9,0.41,3836.3
F00340,7.47,1.91,57.3,29.5,70,118.9,0.52,3659.5
F00341,7.12,3.73,55.2,28.4,79,155.8,0.58,4990.9
F00342,5.82,1.69,45.3,30.0,75,119.2,0.52,3962.6
F00343,6.06,3.5,50.4,29.2,80,166.8,0.52,3551.0
F00344,6.16,2.08,42.4,26.5,84,166.7,0.7,4086.6
F00345,6.8,2.67,49.4,28.5,67,122.8,0.73,4622.1
F00346,7.01,3.79,37.7,26.8,67,160.3,0.69,4836.2
F00347,7.0,2.96,43.0,25.4,83,168.6,0.43,4216.3
F00348,6.52,2.03,36.3,25.4,75,147.2,0.5,3941.0
F00349,7.12,2.21,31.1,26.4,70,129.3,0.65,4667.6
F00350,6.37,3.8,47.7,24.7,73,135.3,0.74,4255.7
F00351,5.75,2.57,55.9,25.1,69,162.9,0.48,3629.0
F00352,6.63,2.97,30.8,27.0,71,123.5,0.71,4831.6
F00353,7.4,2.65,35.9,29.7,84,126.8,0.66,4483.7
F00354,7.09,2.45,43.8,27.5,65,112.9,0.74,3555.2
F00355,6.66,2.06,50.0,26.5,67,131.9,0.43,3513.6
F00356,6.79,3.22,35.1,25.5,75,106.9,0.54,3631.6
F00357,7.36,3.3,31.7,25.2,74,125.7,0.57,4732.9
F00358,6.36,2.19,45.6,28.0,77,129.9,0.64,4222.0
F00359,6.16,3.47,54.6,29.1,67,120.4,0.63,4003.0
F00360,7.45,3.64,31.1,26.4,75,108.1,0.72,3873.9
F00361,7.23,3.8,40.5,27.3,84,141.7,0.69,4260.3
F00362,6.15,1.9,49.9,28.2,73,169.2,0.42,3624.6
F00363,6.43,2.26,33.9,24.3,75,126.9,0.57,4425.8
F00364,6.33,3.65,37.1,26.1,73,118.9,0.54,4070.8
F00365,5.8,2.0,46.1,28.4,77,122.8,0.75,4787.7
F00366,7.42,1.51,58.6,28.1,73,169.0,0.55,4631.6
F00367,6.31,3.68,38.6,24.3,78,142.2,0.64,3527.5
F00368,7.25,2.32,44.6,25.4,80,110.5,0.5,3749.7
F00369,5.88,2.54,42.0,28.1,81,156.7,0.62,4211.1
F00370,6.6,2.62,56.9,25.6,79,112.3,0.47,4488.0
F00371,5.55,3.62,32.2,28.9,75,104.8,0.61,4572.7
F00372,7.03,2.34,47.0,24.2,76,120.5,0.7,4724.4
F00373,6.66,3.73,55.4,25.1,75,113.4,0.41,3573.8
F00374,6.75,3.04,59.6,25.7,82,148.4,0.58,3527.7
F00375,5.6,2.82,51.0,29.6,76,138.8,0.74,4400.8
F00376,5.92,2.31,41.4,28.8,72,157.9,0.46,4585.7
F00377,5.65,2.11,42.4,29.3,74,140.9,0.46,4680.0
F00378,6.08,3.06,40.6,26.6,67,133.5,0.56,3733.6
F00379,6.75,2.62,48.1,28.9,84,142.1,0.7,4953.1
F00380,6.63,3.78,52.2,29.1,68,134.8,0.6,3844.1
F00381,6.72,2.73,54.6,26.4,77,103.0,0.58,3875.5
F00382,6.6,2.78,42.5,30.0,84,154.5,0.43,3731.4
F00383,6.05,2.54,51.5,29.1,72,177.0,0.74,3564.9
F00384,5.99,3.47,57.5,29.8,66,133.8,0.52,4714.6
F00385,5.77,2.56,57.6,29.2,66,133.9,0.49,3508.5
F00386,7.2,2.17,51.1,28.7,70,103.7,0.54,4195.7
F00387,6.73,3.66,49.1,29.7,84,171.2,0.54,3638.0
F00388,5.87,2.99,45.9,26.5,71,174.3,0.56,3567.2
F00389,5.85,2.98,35.5,28.7,68,165.1,0.64,4902.0
F00390,7.25,3.03,33.7,25.3,72,108.5,0.7,4738.1
F00391,6.99,3.3,44.6,28.4,82,172.0,0.42,4092.3
F00392,6.82,2.28,34.8,28.7,74,101.9,0.57,4187.9
F00393,6.31,1.58,47.3,28.3,84,135.6,0.54,4802.2
F00394,6.02,3.53,49.4,29.1,75,140.0,0.4,4695.3
F00395,7.46,1.82,45.8,26.5,71,166.7,0.69,4537.4
F00396,7.09,3.3,31.1,27.3,69,160.1,0.44,4304.8
F00397,6.1,1.71,31.7,24.1,75,163.8,0.44,4411.7
